1 C 4 15 16 17 2
2 C 4 1 18 19 3
3 C 3 12 2 4
4 C 3 3 5 7
5 C 4 20 21 4 6
6 C 4 22 23 24 5
7 C 3 13 4 8
8 C 3 11 7 9
9 C 4 10 25 26 8
10 C 4 27 28 29 9
11 C 4 12 30 31 8
12 C 4 11 3 32 33
13 C 4 14 34 35 7
14 C 4 13 36 37 38
15 H 1 1
16 H 1 1
17 H 1 1
18 H 1 2
19 H 1 2
20 H 1 5
21 H 1 5
22 H 1 6
23 H 1 6
24 H 1 6
25 H 1 9
26 H 1 9
27 H 1 10
28 H 1 10
29 H 1 10
30 H 1 11
31 H 1 11
32 H 1 12
33 H 1 12
34 H 1 13
35 H 1 13
36 H 1 14
37 H 1 14
38 H 1 14
39 C 4 40 51 52 53
40 C 4 39 41 54 55
41 C 3 40 42 49
42 C 3 41 43 45
43 C 4 42 44 56 57
44 C 4 43 58 59 60
45 C 3 42 46 47
46 O 1 45
47 O 2 45 48
48 C 4 47 61 62 63
49 C 4 41 50 64 65
50 C 4 49 66 67 68
51 H 1 39
52 H 1 39
53 H 1 39
54 H 1 40
55 H 1 40
56 H 1 43
57 H 1 43
58 H 1 44
59 H 1 44
60 H 1 44
61 H 1 48
62 H 1 48
63 H 1 48
64 H 1 49
65 H 1 49
66 H 1 50
67 H 1 50
68 H 1 50
