             max_min            avg_dist            add_dist           angle_sub               dummy               cylin             overall
            0.395822            3.277924            0.000000            3.172399            0.527565            1.748642           11.760175
            0.395822            1.630292            0.000000            2.826677            5.866297            0.683655           40.734228
            0.350448            3.049033            0.000000            0.000000            6.189785            0.482605           41.020798
            0.395822            2.075498            0.000000            2.826677            5.866297            0.683655           41.179433
            0.395822            1.381682            0.000000            1.541247            6.105536            1.336540           41.288505
            0.395822            2.938216            0.000000            2.826677            5.866297            0.683655           42.042152
            0.395822            0.293549            0.000000            1.956318            6.325663            1.867548           42.467217
            0.395822            3.811343            0.000000            2.826677            5.866297            0.683655           42.915279
            0.395822            6.195548            0.000000            2.635467            5.949495            0.941596           45.865400
