             max_min            avg_dist            add_dist           angle_sub               dummy               cylin             overall
            0.348567            3.707967            3.888196            0.000000            0.313025            0.000000            9.822878
            0.348567            3.236733            0.000000            0.000000            3.590986            2.967914           28.099131
            0.348567            2.190955            0.000000            0.000000            4.640760            2.398700           32.782779
            0.348567            2.073659            0.000000            0.000000            4.775523            2.954009           34.029375
            0.348567            2.216443            0.000000            0.000000            6.049637            2.551283           41.414112
            0.348567            4.289138            0.000000            0.000000            5.702541            2.712733           41.565685
            0.348567            2.531386            0.000000            0.000000            6.049637            2.551283           41.729056
            0.348567            3.644378            0.000000            0.000000            6.049637            2.551283           42.842048
            0.348567            2.381379            0.000000            0.000000            6.921768            2.645091           46.905648
            0.348567            2.639732            0.000000            0.000000            6.921768            2.645091           47.164000
            0.348567            2.250597            0.000000            0.000000            7.053346            2.551283           47.470524
            0.348567            3.326508            0.000000            0.000000            6.921768            2.645091           47.850777
            0.348567            4.216892            0.000000            0.000000            6.921768            2.645091           48.741160
            0.348567            4.042818            0.000000            0.000000            7.053346            2.551283           49.262746
