1 N 3 2 3 4
2 H 1 1
3 H 1 1
4 C 4 1 5 6 7
5 H 1 4
6 H 1 4
7 C 4 10 4 8 9
8 H 1 7
9 H 1 7
10 C 3 11 12 7
11 H 1 10
12 C 3 10 13 15
13 H 1 12
14 H 1 15
15 C 4 12 14 16 17
16 H 1 15
17 C 3 15 18 19
18 O 1 17
19 Cl 1 17
